YEAR,EVENT_TYPE,TOR_F_SCALE
1955,Thunderstorm Wind,
1955,Tornado,
1955,Tornado,
1955,Tornado,
1955,Hail,
1955,Tornado,
1955,Tornado,F2
1955,Tornado,F2
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F0
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,F1
1955,Tornado,F2
1955,Tornado,F3
1955,Tornado,F3
1955,Tornado,F3
1955,Tornado,F3
1955,Tornado,F3
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,F1
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F2
1955,Tornado,F0
1955,Hail,
1955,Tornado,F4
1955,Tornado,F1
1955,Hail,
1955,Tornado,F0
1955,Hail,
1955,Hail,
1955,Hail,
1955,Tornado,F2
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Tornado,F0
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F1
1955,Tornado,F1
1955,Tornado,F0
1955,Tornado,F1
1955,Tornado,F2
1955,Tornado,F2
1955,Tornado,F2
1955,Tornado,F0
1955,Tornado,F2
1955,Tornado,F2
1955,Tornado,F2
1955,Hail,
1955,Hail,
1955,Tornado,F2
1955,Hail,
1955,Hail,
1955,Tornado,F1
1955,Hail,
1955,Tornado,F0
1955,Tornado,F3
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Tornado,F0
1955,Hail,
1955,Hail,
1955,Hail,
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F2
1955,Hail,
1955,Tornado,F1
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F1
1955,Hail,
1955,Tornado,F1
1955,Hail,
1955,Tornado,F2
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,
1955,Tornado,F0
1955,Tornado,F2
1955,Tornado,
1955,Tornado,F3
1955,Tornado,F4
1955,Tornado,F4
1955,Hail,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,
1955,Tornado,F2
1955,Tornado,F1
1955,Hail,
1955,Tornado,F0
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,F2
1955,Tornado,F0
1955,Tornado,F1
1955,Hail,
1955,Tornado,F0
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F0
1955,Tornado,F1
1955,Tornado,F0
1955,Tornado,F0
1955,Tornado,F0
1955,Tornado,F1
1955,Tornado,F1
1955,Tornado,F0
1955,Hail,
1955,Hail,
1955,Tornado,F0
1955,Tornado,F1
1955,Tornado,F0
1955,Hail,
1955,Hail,
1955,Tornado,F0
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F2
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,
1955,Tornado,F2
1955,Tornado,F1
1955,Tornado,
1955,Tornado,
1955,Tornado,
1955,Tornado,
1955,Tornado,
1955,Tornado,F0
1955,Tornado,F0
1955,Tornado,F1
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F3
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Hail,
1955,Tornado,F2
1955,Hail,
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F3
1955,Tornado,F2
1955,Tornado,F1
1955,Hail,
1955,Tornado,F2
1955,Tornado,F3
1955,Hail,
1955,Hail,
1955,Hail,
1955,Tornado,F2
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F1
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Tornado,F3
1955,Hail,
1955,Tornado,F3
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F3
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,
1955,Tornado,
1955,Tornado,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,F2
1955,Hail,
1955,Hail,
1955,Tornado,F2
1955,Hail,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Tornado,F2
1955,Hail,
1955,Tornado,F2
1955,Tornado,F1
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F1
1955,Tornado,F2
1955,Tornado,F0
1955,Hail,
1955,Tornado,F0
1955,Tornado,F1
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F2
1955,Tornado,F2
1955,Tornado,F2
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Tornado,F2
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F1
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F4
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F2
1955,Tornado,F3
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,F2
1955,Tornado,F1
1955,Tornado,F1
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F0
1955,Tornado,F0
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F0
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,F3
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Hail,
1955,Tornado,F1
1955,Tornado,F4
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Hail,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F0
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F0
1955,Tornado,F1
1955,Tornado,F1
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,F0
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,
1955,Tornado,
1955,Tornado,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Tornado,F1
1955,Tornado,F1
1955,Tornado,F1
1955,Hail,
1955,Tornado,F2
1955,Tornado,
1955,Tornado,F1
1955,Tornado,F1
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Hail,
1955,Tornado,F1
1955,Hail,
1955,Tornado,F2
1955,Tornado,F2
1955,Tornado,F2
1955,Tornado,F2
1955,Tornado,F2
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Tornado,
1955,Hail,
1955,Tornado,F2
1955,Tornado,F2
1955,Tornado,
1955,Tornado,
1955,Tornado,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,
1955,Tornado,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F0
1955,Tornado,F0
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F1
1955,Tornado,F1
1955,Tornado,F1
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,F0
1955,Tornado,
1955,Tornado,
1955,Tornado,F1
1955,Hail,
1955,Tornado,F0
1955,Hail,
1955,Hail,
1955,Tornado,F0
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Tornado,F0
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F2
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F0
1955,Tornado,F0
1955,Hail,
1955,Tornado,F0
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Tornado,
1955,Tornado,F1
1955,Tornado,F1
1955,Tornado,F1
1955,Tornado,F1
1955,Tornado,F1
1955,Tornado,F4
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F0
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Tornado,
1955,Thunderstorm Wind,
1955,Tornado,
1955,Tornado,
1955,Tornado,
1955,Tornado,
1955,Tornado,
1955,Hail,
1955,Hail,
1955,Tornado,F2
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F3
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,F1
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F0
1955,Tornado,F2
1955,Hail,
1955,Tornado,F1
1955,Tornado,F0
1955,Tornado,F1
1955,Tornado,F2
1955,Tornado,F1
1955,Hail,
1955,Hail,
1955,Hail,
1955,Tornado,F1
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,F1
1955,Tornado,F2
1955,Tornado,
1955,Tornado,F2
1955,Tornado,F1
1955,Tornado,F2
1955,Tornado,F0
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F4
1955,Tornado,F4
1955,Hail,
1955,Hail,
1955,Tornado,F0
1955,Hail,
1955,Tornado,F1
1955,Tornado,F2
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F0
1955,Hail,
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,
1955,Thunderstorm Wind,
1955,Tornado,F0
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F0
1955,Tornado,F0
1955,Hail,
1955,Tornado,F1
1955,Tornado,F2
1955,Tornado,F2
1955,Tornado,F3
1955,Hail,
1955,Tornado,F3
1955,Tornado,F3
1955,Hail,
1955,Hail,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F0
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,
1955,Hail,
1955,Tornado,F3
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Tornado,F2
1955,Hail,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F1
1955,Tornado,F2
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F0
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F3
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F3
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Hail,
1955,Tornado,F2
1955,Hail,
1955,Tornado,F2
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Tornado,F3
1955,Tornado,F1
1955,Tornado,F2
1955,Tornado,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Tornado,F2
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,F2
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F2
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Tornado,F1
1955,Tornado,F0
1955,Hail,
1955,Tornado,F1
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F3
1955,Thunderstorm Wind,
1955,Tornado,F0
1955,Tornado,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F2
1955,Tornado,F3
1955,Tornado,
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Thunderstorm Wind,
1955,Tornado,
1955,Tornado,
1955,Tornado,F2
1955,Tornado,F0
1955,Thunderstorm Wind,
1955,Tornado,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Hail,
1955,Hail,
1955,Tornado,F0
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F2
1955,Hail,
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F2
1955,Tornado,F3
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Tornado,F3
1955,Thunderstorm Wind,
1955,Tornado,F3
1955,Tornado,F1
1955,Tornado,F2
1955,Hail,
1955,Tornado,F1
1955,Tornado,F1
1955,Tornado,F1
1955,Hail,
1955,Hail,
1955,Tornado,F1
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F0
1955,Tornado,F1
1955,Tornado,F0
1955,Tornado,F0
1955,Tornado,F0
1955,Tornado,F4
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,F0
1955,Tornado,F2
1955,Tornado,F1
1955,Tornado,F0
1955,Tornado,F0
1955,Tornado,F0
1955,Tornado,F0
1955,Tornado,F0
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,F0
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F1
1955,Tornado,F2
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Tornado,F2
1955,Tornado,F1
1955,Tornado,F1
1955,Hail,
1955,Thunderstorm Wind,
1955,Hail,
1955,Hail,
1955,Hail,
1955,Thunderstorm Wind,
1955,Thunderstorm Wind,
1955,Hail,
1955,Tornado,
1955,Tornado,
1955,Thunderstorm Wind,
