YEAR,EVENT_TYPE,TOR_F_SCALE
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F2
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Hail,
1980,Tornado,F0
1980,Tornado,F0
1980,Hail,
1980,Thunderstorm Wind,
1980,Tornado,F0
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Tornado,F1
1980,Thunderstorm Wind,
1980,Tornado,F2
1980,Tornado,F2
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Tornado,F0
1980,Tornado,F2
1980,Tornado,F2
1980,Tornado,F1
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Tornado,F0
1980,Tornado,F0
1980,Tornado,F0
1980,Tornado,F0
1980,Tornado,F0
1980,Tornado,F0
1980,Tornado,
1980,Tornado,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Tornado,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Tornado,F3
1980,Tornado,F3
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F0
1980,Thunderstorm Wind,
1980,Tornado,F0
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Tornado,F1
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Tornado,F0
1980,Hail,
1980,Hail,
1980,Tornado,F0
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Tornado,F0
1980,Hail,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Tornado,F0
1980,Hail,
1980,Tornado,F2
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Tornado,F1
1980,Tornado,F0
1980,Hail,
1980,Thunderstorm Wind,
1980,Tornado,F0
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Tornado,F1
1980,Tornado,F1
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Tornado,F1
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Thunderstorm Wind,
1980,Hail,
1980,Tornado,F2
1980,Tornado,F2
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F2
1980,Thunderstorm Wind,
1980,Tornado,F3
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Tornado,F0
1980,Tornado,F1
1980,Tornado,F1
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Tornado,F2
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F2
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Tornado,F1
1980,Tornado,F1
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Tornado,F0
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F0
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Tornado,F1
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Tornado,F2
1980,Hail,
1980,Tornado,F0
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Thunderstorm Wind,
1980,Tornado,F3
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F2
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Tornado,F2
1980,Tornado,F1
1980,Tornado,F2
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Hail,
1980,Hail,
1980,Tornado,F1
1980,Hail,
1980,Hail,
1980,Tornado,F0
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Tornado,F1
1980,Hail,
1980,Thunderstorm Wind,
1980,Tornado,F2
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Tornado,F2
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F2
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Tornado,F1
1980,Tornado,F1
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Hail,
1980,Tornado,F1
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Tornado,F1
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Tornado,F0
1980,Tornado,F1
1980,Tornado,F2
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Tornado,F2
1980,Tornado,F1
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Hail,
1980,Tornado,F1
1980,Tornado,F2
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Tornado,F0
1980,Hail,
1980,Tornado,F0
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Thunderstorm Wind,
1980,Tornado,F1
1980,Tornado,F1
1980,Tornado,F1
1980,Tornado,F0
1980,Tornado,F1
1980,Thunderstorm Wind,
1980,Hail,
1980,Thunderstorm Wind,
1980,Hail,
1980,Hail,
1980,Thunderstorm Wind,
